student_id,last_name,first_name,section,quiz1,quiz2,quiz3,quiz4,quiz5,midterm,final,attendance_percent
201,Delloro,Paul,B,90.0,92.0,95.0,94.0,96.0,88.0,90.0,100.0
202,General,Andrew,B,82.0,95.0,78.0,84.0,92.0,86.0,90.0,100.0
203,Reyes,Marco,B,88.0,87.0,,85.0,89.0,78.0,82.0,90.0
204,Salazar,Jude,B,75.0,72.0,70.0,68.0,70.0,65.0,60.0,80.0
205,Rivera,Anne,B,92.0,90.0,91.0,93.0,94.0,90.0,92.0,100.0
206,Hernandez,Leo,B,,85.0,82.0,80.0,75.0,78.0,84.0,95.0
207,Martinez,Joy,B,85.0,88.0,87.0,86.0,90.0,83.0,85.0,88.0
208,Ramos,Carlo,B,91.0,93.0,95.0,94.0,90.0,88.0,91.0,100.0
209,Alcantara,Faye,B,80.0,,78.0,76.0,79.0,70.0,75.0,85.0
210,Cortez,Liam,B,88.0,90.0,92.0,,94.0,89.0,90.0,98.0
